t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123,R75n,R77n,R78n,R80n,R81n,R83n,R92n,R98n,R102n,R103n,R104n,R105n,R106n,R116n,R117n,R118n,R119n,R120n,R121n,R122n,R123n
9230,-0.138710975646973,-0.0105075836181641,-0.194570541381836,-0.107305526733398,-0.14003944396972698,-0.0905866622924805,-0.123711585998535,-0.134414672851562,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15808677673339802,-0.159258842468262,-0.102460861206055,-0.18808650970458998,-0.172930717468262,-0.15691471099853502,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226211547851562,-0.0476560592651367,-0.00851535797119141,-0.154062271118164,-0.0336723327636719,-0.0481252670288086,-0.00625038146972656,-0.0457038879394531,-0.0436725616455078,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.050547599792480497,-0.0492191314697266,-0.0260152816772461,-0.0573434829711914,-0.0481252670288086,-0.0452346801757812,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0702342987060547
9235,-0.138710975646973,-0.0103511810302734,-0.194570541381836,-0.107305526733398,-0.14003944396972698,-0.0904302597045898,-0.123711585998535,-0.13425827026367199,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.159258842468262,-0.10238361358642599,-0.18808650970458998,-0.172930717468262,-0.15691471099853502,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226211547851562,-0.0476560592651367,-0.00835895538330078,-0.154062271118164,-0.0336723327636719,-0.0481252670288086,-0.00609397888183594,-0.0457038879394531,-0.0435161590576172,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0492191314697266,-0.0259380340576172,-0.0573434829711914,-0.0481252670288086,-0.0452346801757812,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0702342987060547
9240,-0.138710975646973,-0.0103511810302734,-0.194493293762207,-0.107305526733398,-0.14003944396972698,-0.0902738571166992,-0.123711585998535,-0.13418006896972698,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.159258842468262,-0.10230541229248,-0.18808650970458998,-0.172930717468262,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226133346557617,-0.0476560592651367,-0.00835895538330078,-0.15398502349853502,-0.0336723327636719,-0.0481252670288086,-0.00593757629394531,-0.0457038879394531,-0.0434379577636719,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0492191314697266,-0.0258598327636719,-0.0573434829711914,-0.0481252670288086,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0701560974121094
9245,-0.138710975646973,-0.0104293823242188,-0.194493293762207,-0.107305526733398,-0.14003944396972698,-0.0901174545288086,-0.12378978729248,-0.134023666381836,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.159258842468262,-0.10230541229248,-0.18808650970458998,-0.172930717468262,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226133346557617,-0.0476560592651367,-0.00843715667724609,-0.15398502349853502,-0.0336723327636719,-0.0481252670288086,-0.00578117370605469,-0.0457820892333984,-0.0432815551757812,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0492191314697266,-0.0258598327636719,-0.0573434829711914,-0.0481252670288086,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0701560974121094
9250,-0.138710975646973,-0.0101957321166992,-0.194493293762207,-0.107305526733398,-0.14003944396972698,-0.089961051940918,-0.12378978729248,-0.13394546508789099,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.159258842468262,-0.102227210998535,-0.18808650970458998,-0.172930717468262,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175743103027344,-0.22605514526367199,-0.0476560592651367,-0.00820350646972656,-0.15398502349853502,-0.0336723327636719,-0.0481252670288086,-0.00562477111816406,-0.0457820892333984,-0.0432033538818359,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0492191314697266,-0.0257816314697266,-0.0573434829711914,-0.0481252670288086,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.0315628051757812,-0.0700778961181641
9255,-0.138710975646973,-0.0101175308227539,-0.194493293762207,-0.107305526733398,-0.14003944396972698,-0.0898828506469727,-0.12378978729248,-0.133867263793945,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.15918064117431602,-0.10214900970459,-0.18800830841064498,-0.172930717468262,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175743103027344,-0.22605514526367199,-0.0476560592651367,-0.00812530517578125,-0.15398502349853502,-0.0336723327636719,-0.0481252670288086,-0.00554656982421875,-0.0457820892333984,-0.0431251525878906,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0491409301757812,-0.0257034301757812,-0.0572652816772461,-0.0481252670288086,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.0315628051757812,-0.0700778961181641
9260,-0.138710975646973,-0.0101175308227539,-0.194493293762207,-0.107305526733398,-0.14003944396972698,-0.089726448059082,-0.12378978729248,-0.1337890625,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.15918064117431602,-0.102070808410645,-0.18800830841064498,-0.17285251617431602,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175743103027344,-0.22597694396972698,-0.0476560592651367,-0.00812530517578125,-0.15398502349853502,-0.0336723327636719,-0.0481252670288086,-0.00539016723632812,-0.0457820892333984,-0.0430469512939453,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0491409301757812,-0.0256252288818359,-0.0572652816772461,-0.0480470657348633,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.0315628051757812,-0.0699996948242188
9265,-0.138710975646973,-0.0102729797363281,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0895709991455078,-0.12378978729248,-0.133711814880371,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.15918064117431602,-0.10199260711669901,-0.18800830841064498,-0.17285251617431602,-0.15683650970458998,-0.122383117675781,-0.14902400970458998,-0.175743103027344,-0.22597694396972698,-0.0476560592651367,-0.00828075408935547,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00523471832275391,-0.0457820892333984,-0.0429697036743164,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0491409301757812,-0.0255470275878906,-0.0572652816772461,-0.0480470657348633,-0.0451564788818359,-0.040156364440917997,-0.0331249237060547,-0.0315628051757812,-0.0699996948242188
9270,-0.138710975646973,-0.0102729797363281,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0894145965576172,-0.12378978729248,-0.133633613586426,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15800857543945301,-0.15918064117431602,-0.101914405822754,-0.18800830841064498,-0.17285251617431602,-0.15675830841064498,-0.122383117675781,-0.14902400970458998,-0.175743103027344,-0.22597694396972698,-0.0476560592651367,-0.00828075408935547,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00507831573486328,-0.0457820892333984,-0.0428915023803711,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.0504693984985352,-0.0491409301757812,-0.0254688262939453,-0.0572652816772461,-0.0480470657348633,-0.0450782775878906,-0.040156364440917997,-0.0331249237060547,-0.0315628051757812,-0.0699996948242188
9275,-0.138710975646973,-0.0101175308227539,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0892581939697266,-0.12378978729248,-0.13355541229248002,-0.118086814880371,-0.0419139862060547,-0.136367797851562,-0.157930374145508,-0.15918064117431602,-0.10183620452880901,-0.18800830841064498,-0.17285251617431602,-0.15675830841064498,-0.12230491638183599,-0.14902400970458998,-0.175743103027344,-0.225899696350098,-0.0476560592651367,-0.00812530517578125,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00492191314697266,-0.0457820892333984,-0.0428133010864258,-0.0498447418212891,-0.0091400146484375,-0.0435943603515625,-0.0503911972045898,-0.0491409301757812,-0.025390625,-0.0572652816772461,-0.0480470657348633,-0.0450782775878906,-0.0400781631469727,-0.0331249237060547,-0.0315628051757812,-0.0699224472045898
9280,-0.138710975646973,-0.0101957321166992,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0891799926757812,-0.12386798858642599,-0.13347721099853502,-0.118086814880371,-0.0419139862060547,-0.136445999145508,-0.157930374145508,-0.15918064117431602,-0.10183620452880901,-0.187930107116699,-0.17285251617431602,-0.15675830841064498,-0.12230491638183599,-0.14902400970458998,-0.175743103027344,-0.225899696350098,-0.0476560592651367,-0.00820350646972656,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00484371185302734,-0.0458602905273438,-0.042735099792480497,-0.0498447418212891,-0.0091400146484375,-0.0436725616455078,-0.0503911972045898,-0.0491409301757812,-0.025390625,-0.0571870803833008,-0.0480470657348633,-0.0450782775878906,-0.0400781631469727,-0.0331249237060547,-0.0315628051757812,-0.0699224472045898
9285,-0.138710975646973,-0.0103511810302734,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0890235900878906,-0.12386798858642599,-0.13339900970458998,-0.118086814880371,-0.0419139862060547,-0.136445999145508,-0.157930374145508,-0.15918064117431602,-0.101758003234863,-0.187930107116699,-0.17285251617431602,-0.15675830841064498,-0.12230491638183599,-0.14902400970458998,-0.175743103027344,-0.225821495056152,-0.0476560592651367,-0.00835895538330078,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00468730926513672,-0.0458602905273438,-0.0426568984985352,-0.0498447418212891,-0.0091400146484375,-0.0436725616455078,-0.0503911972045898,-0.0491409301757812,-0.0253124237060547,-0.0571870803833008,-0.0480470657348633,-0.0450782775878906,-0.0400781631469727,-0.0331249237060547,-0.0315628051757812,-0.0698442459106445
9290,-0.138710975646973,-0.00980472564697266,-0.194415092468262,-0.107305526733398,-0.14003944396972698,-0.0888671875,-0.12386798858642599,-0.13332080841064498,-0.118086814880371,-0.0419921875,-0.136445999145508,-0.157930374145508,-0.159102439880371,-0.101679801940918,-0.187930107116699,-0.17285251617431602,-0.15675830841064498,-0.12230491638183599,-0.14902400970458998,-0.17566490173339802,-0.225821495056152,-0.0476560592651367,-0.0078125,-0.15390682220458998,-0.0336723327636719,-0.0481252670288086,-0.00453090667724609,-0.0458602905273438,-0.0425786972045898,-0.0498447418212891,-0.00921821594238281,-0.0436725616455078,-0.0503911972045898,-0.0490627288818359,-0.0252342224121094,-0.0571870803833008,-0.0480470657348633,-0.0450782775878906,-0.0400781631469727,-0.0331249237060547,-0.031484603881835896,-0.0698442459106445
