t_s,R75,51,R77,53,R78,55,R80,57,R81,59,R83,61,R92,63,R98,65,R102,67,R103,69,R104,71,R105,73,R106,75,R99,77,R100,79,R101,81,R116,83,R117,85,R118,87,R119,89,R120,91,R121,93,R122,95,R123
370,0.0228519439697266,370,0.035038948059082,370,-0.0183200836181641,370,0.00644493103027344,370,0.0277738571166992,370,-0.0280075073242188,370,-0.0326175689697266,370,-0.0284767150878906,370,0.0533990859985352,370,0.035273551940918,370,-0.025273323059082,370,0.0460548400878906,370,0.0345706939697266,370,-1.18301200866699,370,0.0130081176757812,370,-8.29264831542969,370,0.0380859375,370,-9.10101127624512,370,0.0414457321166992,370,0.0493364334106445,370,0.0167579650878906,370,0.0413675308227539,370,0.0463676452636719,370,0.0566015243530273
380,0.0228519439697266,380,0.035038948059082,380,-0.0183982849121094,380,0.00667953491210938,380,0.0278520584106445,380,-0.0279293060302734,380,-0.0325393676757812,380,-0.0283985137939453,380,0.0533208847045898,380,0.0351953506469727,380,-0.0251169204711914,380,0.0460548400878906,380,0.0345706939697266,380,-1.33270072937012,380,0.0130863189697266,380,-8.31264877319336,380,0.0381641387939453,380,-9.12702655792236,380,0.0415239334106445,380,0.0491800308227539,380,0.0168361663818359,380,0.041132926940918,380,0.0463676452636719,380,0.0563678741455078
390,0.0229301452636719,390,0.035038948059082,390,-0.0184764862060547,390,0.00691413879394531,390,0.0278520584106445,390,-0.0278520584106445,390,-0.0324611663818359,390,-0.0283203125,390,0.0531644821166992,390,0.035038948059082,390,-0.0250387191772461,390,0.0459766387939453,390,0.0346488952636719,390,-1.48035717010498,390,0.0131645202636719,390,-8.3310079574585,390,0.0381641387939453,390,-9.1526517868042,390,0.0415239334106445,390,0.0490236282348633,390,0.0168361663818359,390,0.0408201217651367,390,0.0462894439697266,390,0.0561332702636719
400,0.0229301452636719,400,0.035038948059082,400,-0.0184764862060547,400,0.00707054138183594,400,0.0278520584106445,400,-0.0278520584106445,400,-0.0323829650878906,400,-0.0282421112060547,400,0.0530862808227539,400,0.0348825454711914,400,-0.0248832702636719,400,0.0459766387939453,400,0.0347270965576172,400,-1.6254358291626,400,0.0133199691772461,400,-8.34796142578125,400,0.0382423400878906,400,-9.17679214477539,400,0.0415239334106445,400,0.0488672256469727,400,0.0169143676757812,400,0.0405864715576172,400,0.0462894439697266,400,0.0558986663818359
410,0.0229301452636719,410,0.035038948059082,410,-0.0185546875,410,0.00722694396972656,410,0.0278520584106445,410,-0.0277738571166992,410,-0.0323047637939453,410,-0.0281639099121094,410,0.0529298782348633,410,0.0348052978515625,410,-0.0247268676757812,410,0.0458984375,410,0.0347270965576172,410,-1.76879596710205,410,0.0133981704711914,410,-8.36335182189941,410,0.0382423400878906,410,-9.19905853271484,410,0.0416021347045898,410,0.048710823059082,410,0.0169925689697266,410,0.0402736663818359,410,0.0462894439697266,410,0.0556640625
420,0.0229301452636719,420,0.035038948059082,420,-0.0186328887939453,420,0.00738334655761719,420,0.0278520584106445,420,-0.0276956558227539,420,-0.0322265625,420,-0.0280857086181641,420,0.052851676940918,420,0.0346488952636719,420,-0.0245704650878906,420,0.0458984375,420,0.0347270965576172,420,-1.91043663024902,420,0.0134763717651367,420,-8.3778829574585,420,0.0382423400878906,420,-9.22023010253906,420,0.0416021347045898,420,0.0485553741455078,420,0.0169925689697266,420,0.0399608612060547,420,0.0462894439697266,420,0.0553522109985352
430,0.0230083465576172,430,0.035038948059082,430,-0.0187110900878906,430,0.00753879547119141,430,0.0278520584106445,430,-0.0276174545288086,430,-0.0321483612060547,430,-0.0280075073242188,430,0.0526952743530273,430,0.0344924926757812,430,-0.0244922637939453,430,0.0458984375,430,0.0348052978515625,430,-2.0508279800415,430,0.013554573059082,430,-8.39178943634033,430,0.0382423400878906,430,-9.24030876159668,430,0.0416021347045898,430,0.0483989715576172,430,0.0170707702636719,430,0.0397272109985352,430,0.0462894439697266,430,0.0551176071166992
440,0.0229301452636719,440,0.035038948059082,440,-0.0187110900878906,440,0.00769519805908203,440,0.0278520584106445,440,-0.0275392532348633,440,-0.0320701599121094,440,-0.0279293060302734,440,0.052617073059082,440,0.0344142913818359,440,-0.0243358612060547,440,0.0458202362060547,440,0.0348052978515625,440,-2.1884069442749,440,0.0136327743530273,440,-8.40405559539795,440,0.0382423400878906,440,-9.25960540771484,440,0.0416021347045898,440,0.0482425689697266,440,0.0170707702636719,440,0.0394144058227539,440,0.0462112426757812,440,0.0548830032348633
450,0.0229301452636719,450,0.035038948059082,450,-0.0187892913818359,450,0.00785160064697266,450,0.0278520584106445,450,-0.027461051940918,450,-0.0319919586181641,450,-0.0278520584106445,450,0.0524616241455078,450,0.0342578887939453,450,-0.0242576599121094,450,0.0458202362060547,450,0.0348052978515625,450,-2.32411050796509,450,0.0137109756469727,450,-8.41538333892822,450,0.0382423400878906,450,-9.27819919586182,450,0.0416021347045898,450,0.0480861663818359,450,0.0171489715576172,450,0.039179801940918,450,0.0462112426757812,450,0.0546483993530273
460,0.0229301452636719,460,0.035038948059082,460,-0.0188674926757812,460,0.00792980194091797,460,0.0278520584106445,460,-0.0273828506469727,460,-0.0319137573242188,460,-0.0277738571166992,460,0.0523834228515625,460,0.0341014862060547,460,-0.0241012573242188,460,0.0457420349121094,460,0.0348825454711914,460,-2.45825147628784,460,0.013789176940918,460,-8.42468070983887,460,0.0382423400878906,460,-9.29515266418457,460,0.0415239334106445,460,0.0478515625,460,0.0171489715576172,460,0.0388669967651367,460,0.0462112426757812,460,0.0543365478515625
