t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
11575,,-0.107070922851562,,-0.0887889862060547,,-0.0885553359985352,-0.100976943969727,-0.0964460372924805,-0.152695655822754,-0.124805450439453,-0.126054763793945,-0.0972270965576172,-0.0737113952636719,-0.0659770965576172,-0.111211776733398,-0.127305030822754,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.165430068969727,-0.0999612808227539,-0.15113353729248,-0.136289596557617
11580,,-0.107070922851562,,-0.0887107849121094,,-0.0885553359985352,-0.100898742675781,-0.0964460372924805,-0.152695655822754,-0.124805450439453,-0.126132965087891,-0.0973052978515625,-0.0736331939697266,-0.0658988952636719,-0.111211776733398,-0.127383232116699,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165351867675781,-0.0999612808227539,-0.15113353729248,-0.136289596557617
11585,,-0.107070922851562,,-0.0887107849121094,,-0.0885553359985352,-0.100898742675781,-0.0964460372924805,-0.152773857116699,-0.124805450439453,-0.126211166381836,-0.0973834991455078,-0.0735549926757812,-0.0658988952636719,-0.111211776733398,-0.127383232116699,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165351867675781,-0.100039482116699,-0.15113353729248,-0.136289596557617
11590,,-0.107070922851562,,-0.0886335372924805,,-0.0884771347045898,-0.100898742675781,-0.0964460372924805,-0.152852058410645,-0.124727249145508,-0.126211166381836,-0.0973834991455078,-0.0735549926757812,-0.0658206939697266,-0.111211776733398,-0.127383232116699,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165351867675781,-0.100039482116699,-0.15113353729248,-0.136289596557617
11595,,-0.107070922851562,,-0.0886335372924805,,-0.0884771347045898,-0.100898742675781,-0.0963678359985352,-0.152852058410645,-0.124727249145508,-0.126289367675781,-0.0974617004394531,-0.0734767913818359,-0.0658206939697266,-0.111211776733398,-0.127461433410645,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165273666381836,-0.100039482116699,-0.15113353729248,-0.136289596557617
11600,,-0.107070922851562,,-0.0885553359985352,,-0.0884771347045898,-0.100898742675781,-0.0963678359985352,-0.15293025970459,-0.124727249145508,-0.126367568969727,-0.097538948059082,-0.0733985900878906,-0.0657424926757812,-0.111211776733398,-0.127461433410645,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165273666381836,-0.100039482116699,-0.151211738586426,-0.136367797851562
11605,,-0.107070922851562,,-0.0885553359985352,,-0.0884771347045898,-0.100898742675781,-0.0963678359985352,-0.15293025970459,-0.124727249145508,-0.126445770263672,-0.0976171493530273,-0.0733985900878906,-0.0656642913818359,-0.111211776733398,-0.127461433410645,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165273666381836,-0.100117683410645,-0.151211738586426,-0.136367797851562
11610,,-0.107070922851562,,-0.0884771347045898,,-0.0883989334106445,-0.100898742675781,-0.0963678359985352,-0.153008460998535,-0.124649047851562,-0.126445770263672,-0.0976171493530273,-0.0733203887939453,-0.0656642913818359,-0.111211776733398,-0.12753963470459,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165195465087891,-0.100117683410645,-0.151211738586426,-0.136367797851562
11615,,-0.106992721557617,,-0.0884771347045898,,-0.0883989334106445,-0.100898742675781,-0.0963678359985352,-0.15308666229248,-0.124649047851562,-0.126523971557617,-0.0976953506469727,-0.0732421875,-0.0655860900878906,-0.111211776733398,-0.12753963470459,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165195465087891,-0.100117683410645,-0.151211738586426,-0.136367797851562
11620,,-0.106992721557617,,-0.0883989334106445,,-0.0883989334106445,-0.100820541381836,-0.0963678359985352,-0.15308666229248,-0.124649047851562,-0.126602172851562,-0.097773551940918,-0.0732421875,-0.0655078887939453,-0.111211776733398,-0.127617835998535,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165195465087891,-0.100117683410645,-0.151211738586426,-0.136445999145508
