t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123
3355,-0.0073051452636718,,,0.013554573059082,0.0130863189697266,-0.0517578125,0.0109767913818359,0.0083208084106445,0.0111331939697266,-0.0003519058227539,-0.0028514862060546,-0.0117578506469727,-0.0156641006469727,0.0161333084106445,-0.0078516006469726,-0.0177736282348633,-0.005507469177246,0.0153512954711914,-0.0215234756469726,-0.0661334991455078,-0.0320701599121094
3360,-0.0070705413818359,,,0.0137109756469727,0.0133199691772461,-0.0516014099121094,0.0111331939697266,0.0083208084106445,0.0112113952636719,-0.0001955032348632,-0.0027732849121093,-0.0116796493530272,-0.0155858993530272,0.0161333084106445,-0.0077733993530273,-0.0177736282348633,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0661334991455078,-0.0320701599121094
3365,-0.0069141387939453,,,0.013789176940918,0.0134763717651367,-0.0514450073242188,0.0112895965576172,0.0083980560302734,0.0112895965576172,-0.0001173019409179,-0.0026168823242187,-0.011601448059082,-0.015507698059082,0.0161333084106445,-0.0077733993530273,-0.0177736282348633,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0661334991455078,-0.0319919586181641
3370,-0.0067577362060546,,,0.0139455795288086,0.013554573059082,-0.0512895584106445,0.0114450454711914,0.0083980560302734,0.0113668441772461,3.91006469726562e-05,-0.0025386810302734,-0.0115232467651367,-0.0154294967651367,0.0161333084106445,-0.007695198059082,-0.0177736282348633,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0661334991455078,-0.0319919586181641
3375,-0.006601333618164,,,0.0140237808227539,0.0137109756469727,-0.0512113571166992,0.011601448059082,0.0084762573242187,0.0114450454711914,0.0001173019409179,-0.0024604797363281,-0.0114450454711914,-0.0153512954711914,0.0161333084106445,-0.0076169967651367,-0.017695426940918,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0660552978515625,-0.0319137573242188
3380,-0.0064449310302734,,,0.0141801834106445,0.0138673782348633,-0.0510549545288086,0.0116796493530272,0.0084762573242187,0.0114450454711914,0.0001955032348632,-0.0023050308227539,-0.0113668441772461,-0.0152730941772461,0.0161333084106445,-0.0075387954711914,-0.017695426940918,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0660552978515625,-0.0319137573242188
3385,-0.0062894821166992,,,0.0142574310302734,0.0140237808227539,-0.0509767532348633,0.011836051940918,0.0084762573242187,0.0115232467651367,0.0002737045288085,-0.0022268295288085,-0.0112886428833008,-0.0151948928833008,0.0161333084106445,-0.0075387954711914,-0.017695426940918,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0660552978515625,-0.0319137573242188
3390,-0.0062112808227539,,,0.0144138336181641,0.0141019821166992,-0.0508203506469727,0.0119142532348633,0.008554458618164,0.0115232467651367,0.0003519058227539,-0.0021486282348632,-0.0112113952636719,-0.0151176452636719,0.0161333084106445,-0.007460594177246,-0.017695426940918,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0660552978515625,-0.0318355560302733
3395,-0.0060548782348632,,,0.0144920349121094,0.0142574310302734,-0.0507421493530273,0.0119924545288086,0.008554458618164,0.011601448059082,0.0004301071166992,-0.0020704269409179,-0.0111331939697266,-0.0150394439697266,0.0161333084106445,-0.0073823928833007,-0.017695426940918,-0.005507469177246,0.0154294967651367,-0.0215234756469726,-0.0660552978515625,-0.0318355560302733
3400,-0.0059766769409179,,,0.0145702362060547,0.0143356323242188,-0.050663948059082,0.0121488571166992,0.008554458618164,0.011601448059082,0.0005083084106445,-0.0019922256469726,-0.0110549926757812,-0.0150394439697266,0.0160551071166992,-0.0073051452636718,-0.017695426940918,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0659770965576172,-0.0317583084106445
3405,-0.0058202743530273,,,0.0146484375,0.0144920349121094,-0.0505857467651367,0.0122270584106445,0.008554458618164,0.0116796493530272,0.0005855560302734,-0.0019140243530273,-0.0110549926757812,-0.0149612426757812,0.0160551071166992,-0.0073051452636718,-0.017695426940918,-0.005507469177246,0.015507698059082,-0.0215234756469726,-0.0659770965576172,-0.0317583084106445
3410,-0.005742073059082,,,0.0147266387939453,0.0145702362060547,-0.0504302978515625,0.0123043060302734,0.0086326599121093,0.0116796493530272,0.0006637573242187,-0.001835823059082,-0.0109767913818359,-0.0149612426757812,0.0160551071166992,-0.0072269439697265,-0.017695426940918,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0659770965576172,-0.0317583084106445
3415,-0.0055856704711914,,,0.0148048400878906,0.0146484375,-0.0503520965576172,0.0123825073242188,0.0086326599121093,0.0116796493530272,0.000741958618164,-0.0017576217651367,-0.0108985900878906,-0.0148830413818359,0.0160551071166992,-0.0071487426757812,-0.017695426940918,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0659770965576172,-0.0316801071166992
3420,-0.005507469177246,,,0.0148830413818359,0.0147266387939453,-0.0502738952636719,0.0125389099121094,0.0086326599121093,0.0117578506469727,0.0008201599121093,-0.0016794204711914,-0.0108985900878906,-0.0148048400878906,0.0160551071166992,-0.0071487426757812,-0.017695426940918,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0659770965576172,-0.0316801071166992
3425,-0.0054292678833007,,,0.0149612426757812,0.0148048400878906,-0.0501956939697266,0.0126171112060547,0.0086326599121093,0.011836051940918,0.0008983612060546,-0.001601219177246,-0.0108203887939453,-0.0148048400878906,0.0160551071166992,-0.0070705413818359,-0.0176172256469726,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0659770965576172,-0.0316801071166992
3430,-0.0053520202636718,,,0.0150394439697266,0.0149612426757812,-0.0501174926757812,0.0126953125,0.0087108612060546,0.011836051940918,0.0009765625,-0.0014448165893554,-0.0107421875,-0.0147266387939453,0.0160551071166992,-0.0069923400878906,-0.0176172256469726,-0.005507469177246,0.015507698059082,-0.0214452743530273,-0.0658988952636719,-0.0316019058227539
3435,-0.0051956176757812,,,0.0151176452636719,0.0150394439697266,-0.0500392913818359,0.0127735137939453,0.0087108612060546,0.0119142532348633,0.0009765625,-0.0013675689697265,-0.0106639862060547,-0.0146484375,0.0160551071166992,-0.0069923400878906,-0.0176172256469726,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658988952636719,-0.0316019058227539
3440,-0.0051174163818359,,,0.0151958465576172,0.0151176452636719,-0.0499610900878906,0.0128517150878906,0.0087108612060546,0.0119142532348633,0.0010547637939453,-0.0012893676757812,-0.0106639862060547,-0.0146484375,0.0160551071166992,-0.0069141387939453,-0.0176172256469726,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658988952636719,-0.0315237045288086
3445,-0.0050392150878906,,,0.0152730941772461,0.0151176452636719,-0.0498828887939453,0.0129299163818359,0.0087108612060546,0.0119924545288086,0.0011329650878906,-0.0012111663818359,-0.0105857849121094,-0.0145702362060547,0.0160551071166992,-0.0068359375,-0.0176172256469726,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658988952636719,-0.0315237045288086
3450,-0.0049610137939453,,,0.0153512954711914,0.0151958465576172,-0.0498046875,0.0130081176757812,0.0087108612060546,0.0120706558227539,0.0012111663818359,-0.0011329650878906,-0.0105075836181641,-0.0144920349121094,0.0159769058227539,-0.0067577362060546,-0.0175390243530273,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658206939697266,-0.0315237045288086
3455,-0.0048828125,,,0.0154294967651367,0.0152730941772461,-0.0497264862060547,0.0130081176757812,0.0087108612060546,0.0120706558227539,0.0012893676757812,-0.0010547637939453,-0.0104293823242188,-0.0144138336181641,0.0159769058227539,-0.0067577362060546,-0.0175390243530273,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658988952636719,-0.0314455032348633
3460,-0.0048046112060546,,,0.0154294967651367,0.0153512954711914,-0.0497264862060547,0.0130863189697266,0.0087890625,0.0121488571166992,0.0013675689697265,-0.0008983612060546,-0.0104293823242188,-0.0144138336181641,0.0159769058227539,-0.0066795349121093,-0.0175390243530273,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658206939697266,-0.0314455032348633
3465,-0.0047264099121093,,,0.015507698059082,0.0154294967651367,-0.0496482849121094,0.0131645202636719,0.0087890625,0.0121488571166992,0.0013675689697265,-0.0008201599121093,-0.0103511810302734,-0.0143356323242188,0.0159769058227539,-0.0066795349121093,-0.0175390243530273,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658206939697266,-0.0314455032348633
3470,-0.004648208618164,,,0.0155858993530272,0.015507698059082,-0.0495700836181641,0.0132427215576172,0.0087890625,0.0122270584106445,0.0014457702636718,-0.000741958618164,-0.0103511810302734,-0.0143356323242188,0.0159769058227539,-0.006601333618164,-0.0175390243530273,-0.005507469177246,0.0155858993530272,-0.0214452743530273,-0.0658206939697266,-0.0314455032348633
3475,-0.004648208618164,,,0.0156641006469727,0.0155858993530272,-0.0494918823242188,0.0133199691772461,0.0087890625,0.0122270584106445,0.0015230178833007,-0.0006637573242187,-0.0102729797363281,-0.0142574310302734,0.0159769058227539,-0.0065231323242187,-0.0175390243530273,-0.005507469177246,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.031367301940918
3480,-0.0045700073242187,,,0.0156641006469727,0.0155858993530272,-0.0494146347045898,0.0133199691772461,0.0087890625,0.0122270584106445,0.0015230178833007,-0.0005855560302734,-0.0101957321166992,-0.0142574310302734,0.0158987045288086,-0.0065231323242187,-0.0175390243530273,-0.005507469177246,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.031367301940918
3485,-0.0044918060302734,,,0.015742301940918,0.0156641006469727,-0.0494146347045898,0.0133981704711914,0.0087890625,0.0122270584106445,0.001601219177246,-0.0005073547363281,-0.0101957321166992,-0.0142574310302734,0.0158987045288086,-0.0064449310302734,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.031367301940918
3490,-0.0044136047363281,,,0.015742301940918,0.015742301940918,-0.0493364334106445,0.0134763717651367,0.0087890625,0.0122270584106445,0.001601219177246,-0.0004301071166992,-0.0101957321166992,-0.0141792297363281,0.0158987045288086,-0.0064449310302734,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.031367301940918
3495,-0.0044136047363281,,,0.0158205032348633,0.015742301940918,-0.0492582321166992,0.013554573059082,0.0087890625,0.0123043060302734,0.0016794204711914,-0.0003519058227539,-0.0101175308227539,-0.0141792297363281,0.0158987045288086,-0.0063667297363281,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.0312891006469727
3500,-0.0043363571166992,,,0.0158987045288086,0.0158205032348633,-0.0492582321166992,0.013554573059082,0.0087890625,0.0123043060302734,0.0016794204711914,-0.0002737045288085,-0.0100393295288086,-0.0141019821166992,0.0158987045288086,-0.0063667297363281,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0658206939697266,-0.0312891006469727
3505,-0.0042581558227539,,,0.0158987045288086,0.0158987045288086,-0.0491800308227539,0.0136327743530272,0.0087890625,0.0123825073242188,0.0017576217651367,-0.0001955032348632,-0.0100393295288086,-0.0141019821166992,0.0158987045288086,-0.0062894821166992,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0657424926757812,-0.0312891006469727
3510,-0.0041799545288085,,,0.0159769058227539,0.0158987045288086,-0.0491018295288086,0.0136327743530272,0.0088672637939453,0.0124607086181641,0.001835823059082,-0.0001173019409179,-0.0099611282348632,-0.0140237808227539,0.0158205032348633,-0.0062894821166992,-0.0175390243530273,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0657424926757812,-0.0312108993530273
3515,-0.0041799545288085,,,0.0159769058227539,0.0159769058227539,-0.0491018295288086,0.0137109756469727,0.0088672637939453,0.0124607086181641,0.0019140243530273,3.91006469726562e-05,-0.0099611282348632,-0.0139455795288086,0.0158205032348633,-0.0062112808227539,-0.017460823059082,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0657424926757812,-0.0312108993530273
3520,-0.0041017532348632,,,0.0160551071166992,0.0159769058227539,-0.0490236282348633,0.013789176940918,0.0088672637939453,0.0125389099121094,0.0019140243530273,0.0001173019409179,-0.0098829269409179,-0.0139455795288086,0.0158205032348633,-0.0061330795288085,-0.017460823059082,-0.005507469177246,0.0156641006469727,-0.0214452743530273,-0.0656642913818359,-0.0312108993530273
3525,-0.0040235519409179,,,0.0160551071166992,0.0160551071166992,-0.0490236282348633,0.013789176940918,0.0088672637939453,0.0125389099121094,0.0019922256469726,0.0001955032348632,-0.0098047256469726,-0.0138673782348633,0.0158205032348633,-0.0061330795288085,-0.017460823059082,-0.005507469177246,0.0156641006469727,-0.0214452743530273,-0.0656642913818359,-0.031132698059082
3530,-0.0040235519409179,,,0.0161333084106445,0.0161333084106445,-0.0489454269409179,0.0138673782348633,0.0088672637939453,0.0125389099121094,0.0020704269409179,0.0002737045288085,-0.0098047256469726,-0.0138673782348633,0.0158205032348633,-0.0060548782348632,-0.017460823059082,-0.0055856704711914,0.0156641006469727,-0.0214452743530273,-0.0656642913818359,-0.031132698059082
3535,-0.0039453506469726,,,0.0161333084106445,0.0161333084106445,-0.0489454269409179,0.0138673782348633,0.0088672637939453,0.0126171112060547,0.0020704269409179,0.0003519058227539,-0.0097265243530273,-0.013789176940918,0.0158205032348633,-0.0060548782348632,-0.017460823059082,-0.0055856704711914,0.0156641006469727,-0.021367073059082,-0.0656642913818359,-0.031132698059082
3540,-0.0039453506469726,,,0.0162115097045898,0.0162115097045898,-0.0488672256469727,0.0139455795288086,0.0088672637939453,0.0126171112060547,0.0021486282348632,0.0004301071166992,-0.0097265243530273,-0.013789176940918,0.0158205032348633,-0.0059766769409179,-0.017460823059082,-0.0055856704711914,0.015742301940918,-0.021367073059082,-0.0656642913818359,-0.0310544967651367
3545,-0.0038671493530273,,,0.0162115097045898,0.0162115097045898,-0.0487890243530273,0.0139455795288086,0.0088672637939453,0.0126171112060547,0.0021486282348632,0.0005855560302734,-0.009648323059082,-0.0137109756469727,0.0158205032348633,-0.0059766769409179,-0.017460823059082,-0.0055856704711914,0.015742301940918,-0.021367073059082,-0.0656642913818359,-0.0310544967651367
3550,-0.003788948059082,,,0.0162887573242188,0.0162887573242188,-0.0487890243530273,0.0140237808227539,0.0088672637939453,0.0126953125,0.0022268295288085,0.0006637573242187,-0.009648323059082,-0.0137109756469727,0.015742301940918,-0.0058984756469726,-0.0173826217651367,-0.005507469177246,0.015742301940918,-0.021367073059082,-0.0655860900878906,-0.0310544967651367
3555,-0.003788948059082,,,0.0162887573242188,0.0162887573242188,-0.048710823059082,0.0140237808227539,0.0088672637939453,0.0126953125,0.0023050308227539,0.000741958618164,-0.009648323059082,-0.0136327743530272,0.015742301940918,-0.0058984756469726,-0.0173826217651367,-0.0055856704711914,0.015742301940918,-0.021367073059082,-0.0655860900878906,-0.0310544967651367
3560,-0.0037107467651367,,,0.0163669586181641,0.0162887573242188,-0.048710823059082,0.0141019821166992,0.0088672637939453,0.0126953125,0.0023050308227539,0.0008201599121093,-0.0095701217651367,-0.0136327743530272,0.015742301940918,-0.0058202743530273,-0.0173826217651367,-0.0055856704711914,0.015742301940918,-0.021367073059082,-0.0655860900878906,-0.0309762954711914
3565,-0.0037107467651367,,,0.0163669586181641,0.0163669586181641,-0.0486326217651367,0.0141019821166992,0.0088672637939453,0.0127735137939453,0.0023832321166992,0.0008983612060546,-0.0095701217651367,-0.013554573059082,0.015742301940918,-0.005742073059082,-0.0173826217651367,-0.0055856704711914,0.015742301940918,-0.021367073059082,-0.0655860900878906,-0.0309762954711914
