t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
650,0.0232419967651367,0.035038948059082,,,0.0279302597045898,,,,,,,0.0447263717651367,0.035038948059082,,0.0150394439697266,,,,,0.0443363189697266,0.0178518295288086,,0.0459766387939453,
660,0.0232419967651367,0.035038948059082,,,0.0279302597045898,,,,,,,0.0446481704711914,0.035038948059082,,0.0150394439697266,,,,,0.0441017150878906,0.0178518295288086,,0.0459766387939453,
670,0.023320198059082,0.035038948059082,,,0.0279302597045898,,,,,,,0.0446481704711914,0.035038948059082,,0.0151176452636719,,,,,0.0439453125,0.0178518295288086,,0.0459766387939453,
680,0.023320198059082,0.035038948059082,,,0.0279302597045898,,,,,,,0.0445709228515625,0.035038948059082,,0.0151958465576172,,,,,0.0437107086181641,0.0179300308227539,,0.0459766387939453,
690,0.0233983993530273,0.035038948059082,,,0.0279302597045898,,,,,,,0.0444927215576172,0.035038948059082,,0.0151958465576172,,,,,0.0435552597045898,0.0179300308227539,,0.0459766387939453,
700,0.0233983993530273,0.035038948059082,,,0.0279302597045898,,,,,,,0.0444145202636719,0.035038948059082,,0.0152730941772461,,,,,0.0433206558227539,0.0179300308227539,,0.0459766387939453,
710,0.0234766006469727,0.035038948059082,,,0.0279302597045898,,,,,,,0.0443363189697266,0.035038948059082,,0.0152730941772461,,,,,0.0431642532348633,0.0180082321166992,,0.0458984375,
720,0.0234766006469727,0.035038948059082,,,0.0279302597045898,,,,,,,0.0442581176757812,0.035038948059082,,0.0153512954711914,,,,,0.0429296493530273,0.0180082321166992,,0.0458984375,
730,0.0234766006469727,0.035038948059082,,,0.0279302597045898,,,,,,,0.0441799163818359,0.0349607467651367,,0.0153512954711914,,,,,0.0427732467651367,0.0180082321166992,,0.0458984375,
740,0.023554801940918,0.035038948059082,,,0.0279302597045898,,,,,,,0.0441017150878906,0.0349607467651367,,0.0154294967651367,,,,,0.0426177978515625,0.0180864334106445,,0.0458984375,
750,0.023554801940918,0.035038948059082,,,0.0279302597045898,,,,,,,0.0440235137939453,0.0349607467651367,,0.015507698059082,,,,,0.0423831939697266,0.0180864334106445,,0.0458984375,
760,0.023554801940918,0.035038948059082,,,0.0279302597045898,,,,,,,0.0439453125,0.0349607467651367,,0.015507698059082,,,,,0.0422267913818359,0.0180864334106445,,0.0458984375,
770,0.0236330032348633,0.035038948059082,,,0.0279302597045898,,,,,,,0.0438671112060547,0.0349607467651367,,0.0155858993530273,,,,,0.0419921875,0.0180864334106445,,0.0458984375,
780,0.0236330032348633,0.035038948059082,,,0.0279302597045898,,,,,,,0.0437889099121094,0.0349607467651367,,0.0155858993530273,,,,,0.0418357849121094,0.0181646347045898,,0.0458202362060547,
790,0.0236330032348633,0.035038948059082,,,0.0279302597045898,,,,,,,0.0437107086181641,0.0348825454711914,,0.0155858993530273,,,,,0.0416803359985352,0.0181646347045898,,0.0458202362060547,
800,0.0236330032348633,0.0351171493530273,,,0.0279302597045898,,,,,,,0.0436334609985352,0.0348825454711914,,0.0156641006469727,,,,,0.0414457321166992,0.0181646347045898,,0.0458202362060547,
810,0.0236330032348633,0.0351171493530273,,,0.0279302597045898,,,,,,,0.0435552597045898,0.0348825454711914,,0.015742301940918,,,,,0.0412893295288086,0.0181646347045898,,0.0458202362060547,
820,0.0236330032348633,0.0351171493530273,,,0.0280075073242188,,,,,,,0.0433988571166992,0.0348825454711914,,0.015742301940918,,,,,0.0410547256469727,0.0181646347045898,,0.0458202362060547,
830,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0433206558227539,0.0348052978515625,,0.015742301940918,,,,,0.040898323059082,0.0182418823242188,,0.0458202362060547,
