t_s,R75,R77,R78,R80,R81,R83,R92,R98,R100,R102,R105,R114,R117,R120,R121,R122,R124,R125,R126,R127,R128,R129
640.0,-0.0147695541381836,-0.039644718170166,-0.0194024089723825,,-0.0009804725414142,-0.0142305372282863,0.0299571044743061,0.017402458935976,-0.0011992454528808,,,-0.0315508842468262,-0.0009491920354776,,0.031496237963438,,,,,,,
650.0,-0.0148399351164699,-0.039668083190918,-0.0195508953183889,,-0.0009180069318972,-0.0141133312135935,0.030097771435976,0.0173946376889944,-0.0012695313198491,,,-0.0314493179321289,-0.0008554458618164,,0.0315040610730648,,,,,,,
660.0,-0.0149024007841945,-0.0396915450692177,-0.0196992885321379,,-0.0008398056379519,-0.0139961242675781,0.0302462577819824,0.0173789989203215,-0.0012929916847497,,,-0.0313009284436703,-0.000746059406083,,0.0315040610730648,,,,,,,
670.0,-0.0149570470675826,-0.0396993644535542,-0.0198477748781443,,-0.0007773399702273,-0.0138867376372218,0.0303790103644133,0.0173711776733398,-0.0013398170704022,,,-0.031215000897646,-0.0006444930913858,,0.0315040610730648,,,,,,,
680.0,-0.0150352483615279,-0.0397306457161903,-0.0199883468449116,,-0.0007148743025027,-0.0137773519381881,0.0305040366947651,0.0173477176576853,-0.0013789177173748,,,-0.031128978356719,-0.0005507469177246,,0.0315040610730648,,,,,,,
690.0,-0.0150977140292525,-0.0397462844848633,-0.020136833190918,,-0.0006444930913858,-0.0136680603027344,0.0306212436407804,0.0173320770263672,-0.0014023780822753,,,-0.0310430526733398,-0.0004570007440634,,0.031496237963438,,,,,,,
700.0,-0.0151679990813136,-0.0397852919995785,-0.0202852245420218,,-0.0005898475646972,-0.0135664939880371,0.0307384487241507,0.0173164363950491,-0.0014492034679278,,,-0.0309884082525969,-0.0003710746823344,,0.0314884185791016,,,,,,,
710.0,-0.0152305606752634,-0.0398087501525879,-0.0204414371401072,,-0.0005273818969726,-0.0134649276733398,0.0308477412909269,0.0173086170107126,-0.0013008117675781,,,-0.0309181213378906,-0.0002929687616415,,0.0314884185791016,,,,,,,
720.0,-0.015293026342988,-0.0398322120308876,-0.0205742847174406,,-0.0004570007440634,-0.0133633613586426,0.0309727676212788,0.0172930713742971,-0.0013398170704022,,,-0.0308868419378996,-0.0002070426999125,,0.0314884185791016,,,,,,,
730.0,-0.0153476716950536,-0.039863396435976,-0.0207149516791105,,-0.0003945350763387,-0.0132696153596044,0.031074333935976,0.0172774326056242,-0.0013710976345464,,,-0.0309259425848722,-0.0001289367646677,,0.0314805991947651,,,,,,,
740.0,-0.0154102323576808,-0.039879035204649,-0.0208555217832327,,-0.0003242492675781,-0.0131680490449071,0.0311915408819914,0.0172617919743061,-0.0014023780822753,,,-0.0309571269899607,-5.07354743604083e-05,,0.0314805991947651,,,,,,,
750.0,-0.0154414176940918,-0.0398868583142757,-0.0209961887449026,,-0.000238323220401,-0.0130664827302098,0.0313009284436703,0.0172383319586515,-0.0014413833850994,,,-0.0309571269899607,1.17301942736958e-05,,0.0314727798104286,,,,,,,
760.0,-0.0154883386567235,-0.0399024970829487,-0.0211367607116699,,-0.0001679420529399,-0.0129727367311716,0.0313946716487408,0.0172305107116699,-0.0014883041149005,,,-0.0307618137449026,8.98361249710433e-05,,0.0314727798104286,,,,,,,
770.0,-0.0155429840087891,-0.0399259589612484,-0.0212696082890034,,-0.0001132965116994,-0.0128633501008153,0.031496237963438,0.0172226913273335,-0.0015273094177246,,,-0.0307228099554777,0.0001523017854196,,0.0314649604260921,,,,,,,
780.0,-0.0155977252870798,-0.0399571433663368,-0.0214179996401072,,-6.63757309666835e-05,-0.0127696041017771,0.0315821655094624,0.0171915050595999,-0.0015585899818688,,,-0.0307149887084961,0.0002226829528808,,0.0314571373164654,,,,,,,
790.0,-0.0156445503234863,-0.0399806015193462,-0.0215508472174406,,-3.91006460631615e-06,-0.0126758581027389,0.0316759124398232,0.0171758662909269,-0.0015820503467693,,,-0.0307618137449026,0.0002851486206054,,0.0314571373164654,,,,,,,
800.0,-0.0157071109861135,-0.040004063397646,-0.0216915141791105,,5.85556044825353e-05,-0.0125664714723825,0.0317618362605572,0.0171680450439453,-0.0015976906288415,,,-0.030738353729248,0.0003398895205464,,0.0314493179321289,,,,,,,
810.0,-0.0157617572695017,-0.0400431640446186,-0.0218320842832327,,0.0001054763779393,-0.0124727254733443,0.031839944422245,0.0171524044126272,-0.0016133309109136,,,-0.0307461749762297,0.0003945350763387,,0.0314414985477924,,,,,,,
820.0,-0.0158086773008108,-0.0400665290653706,-0.0219649318605661,,0.0001601219264557,-0.0123867988586426,0.031925868242979,0.0171289443969727,-0.0016366959316656,,,-0.0307071693241596,0.0004570007440634,,0.031433679163456,,,,,,,
830.0,-0.0158555041998625,-0.0400899909436703,-0.0220977794378996,,0.000230503079365,-0.0122930528596044,0.0319962501525879,0.0171211250126362,-0.0016523360973224,,,-0.030738353729248,0.0005117416731081,,0.0314258597791195,,,,,,,
840.0,-0.0159024242311716,-0.0401134490966797,-0.0222305301576853,,0.0002851486206054,-0.012214851565659,0.0320743583142757,0.0170977599918842,-0.0016601562965661,,,-0.0307228099554777,0.0005663871997967,,0.0314181335270405,,,,,,,
850.0,-0.0159492492675781,-0.0401369109749794,-0.0223711971193552,,0.00034761428833,-0.0121211055666208,0.0321368239820004,0.0170899387449026,-0.0016679763793945,,,-0.0307071693241596,0.0006289482116699,,0.0314181335270405,,,,,,,
860.0,-0.0160039905458689,-0.0401759147644043,-0.0224961284548044,,0.0003945350763387,-0.0120351789519191,0.0321993827819824,0.0170586593449116,-0.0016757965786382,,,-0.0307539943605661,0.0006992340204305,,0.031410314142704,,,,,,,
870.0,-0.0160508155822754,-0.0402071960270405,-0.0226367954164743,,0.0004570007440634,-0.0119492532685399,0.032261848449707,0.0170430187135935,-0.0016836166614666,,,-0.0307461749762297,0.0007616996881552,,0.0314024947583675,,,,,,,
880.0,-0.0161055568605661,-0.0402461998164654,-0.0227696429938078,,0.0005039215320721,-0.0118711469694972,0.0322774909436703,0.0170195586979389,-0.001691436744295,,,-0.0307618137449026,0.0008242607000283,,0.0313946716487408,,,,,,,
890.0,-0.0161445625126362,-0.0402618423104286,-0.0229023937135935,,0.0005507469177246,-0.0117930416017771,0.0323009490966797,0.016996193677187,-0.001691436744295,,,-0.0307696349918842,0.0008789062849245,,0.0313790328800678,,,,,,,
900.0,-0.0161836631596088,-0.040285300463438,-0.0230274200439453,,0.0006054878467693,-0.0117071149870753,0.0323399566113949,0.0169727336615324,-0.0016992569435387,,,-0.0308009143918753,0.0009336471557617,,0.0313633941113949,,,,,,,
910.0,-0.0162226688116789,-0.0403009429574013,-0.0231524463742971,,0.0006444930913858,-0.0116367340087891,0.0323946960270405,0.0169492717832327,-0.001714801765047,,,-0.0309181213378906,0.0009804725414142,,0.0313555710017681,,,,,,,
920.0,-0.0162539482116699,-0.0403244011104107,-0.023285198956728,,0.0007148743025027,-0.0115586286410689,0.0324415229260921,0.0169336330145597,-0.0017226219642907,,,-0.0310274120420218,0.0010195731883868,,0.0313477516174316,,,,,,,
930.0,-0.0162930488586426,-0.0403399467468262,-0.0234102252870798,,0.0007773399702273,-0.0114883426576853,0.0324571616947651,0.0169024467468262,-0.0017304420471191,,,-0.0311056133359671,0.0010663986904546,,0.0313399322330952,,,,,,,
940.0,-0.0163242351263762,-0.0403477661311626,-0.0235430728644133,,0.0008398056379519,-0.0114102363586426,0.0324962623417377,0.0168789867311716,-0.0017304420471191,,,-0.0311524402350187,0.0011133194202557,,0.0313243865966797,,,,,,,
950.0,-0.0163633357733488,-0.0403790473937988,-0.0236680991947651,,0.0009023666498251,-0.0113320350646973,0.0325430892407894,0.0168477054685354,-0.0017304420471191,,,-0.0311837196350098,0.0011601448059082,,0.0313165672123432,,,,,,,
960.0,-0.0163946151733398,-0.0403868667781353,-0.0238008499145508,,0.0009491920354776,-0.0112617490813136,0.032597828656435,0.0168242454528809,-0.0017382622463628,,,-0.0312227252870798,0.0011992454528808,,0.0313087478280067,,,,,,,
970.0,-0.0164336208254099,-0.040410328656435,-0.0239180568605661,,0.0009961128234863,-0.0111836437135935,0.0326446555554867,0.0168008804321289,-0.0017460823291912,,,-0.0312696471810341,0.0012382507557049,,0.0313009284436703,,,,,,,
980.0,-0.0164727214723825,-0.0404337905347347,-0.024043083190918,,0.0010507584083825,-0.0111133577302098,0.0327149406075478,0.0167852398008108,-0.0017460823291912,,,-0.0313242934644222,0.0012773514026776,,0.0312931053340435,,,,,,,
990.0,-0.0165040027350187,-0.0404493324458599,-0.0241602901369333,,0.0011054993374273,-0.0110507970675826,0.0327696800231934,0.0167539604008198,-0.0017617226112633,,,-0.0313868522644043,0.0013164520496502,,0.0312774665653706,,,,,,,
1000.0,-0.0165351871401072,-0.0404727943241596,-0.0242774020880461,,0.0011601448059082,-0.0109726907685399,0.032832145690918,0.0167305003851652,-0.0017617226112633,,,-0.0314414985477924,0.0013554573524743,,0.0312696471810341,,,,,,,
1010.0,-0.0165664684027433,-0.0404962562024593,-0.0244024284183979,,0.0011992454528808,-0.0109024047851563,0.0328712463378906,0.0166993141174316,-0.0017695426940918,,,-0.0314649604260921,0.0013945579994469,,0.0312540046870708,,,,,,,
1020.0,-0.0165977478027344,-0.0405197143554688,-0.0245118141174316,,0.0012460708385333,-0.010839844122529,0.0329415313899517,0.0166758541017771,-0.0017773628933355,,,-0.0315274260938168,0.0014257431030273,,0.0312383659183979,,,,,,,
1030.0,-0.0166367534548044,-0.0405352599918842,-0.024629021063447,,0.0013008117675781,-0.0107773784548044,0.0329961776733398,0.0166445728391409,-0.0017851829761639,,,-0.0315508842468262,0.00146484375,,0.0312305446714163,,,,,,,
1040.0,-0.0166680347174406,-0.0405665412545204,-0.0247462280094624,,0.0013398170704022,-0.0107149127870798,0.0329806320369244,0.0166212078183889,-0.0017930030589923,,,-0.0315899848937988,0.0014961243141442,,0.0312071796506643,,,,,,,
1050.0,-0.0166993141174316,-0.0405743606388569,-0.0248555187135935,,0.0013789177173748,-0.0106445318087935,0.0329649932682514,0.0165899284183979,-0.001800823258236,,,-0.0316133499145508,0.0015429496997967,,0.0311915408819914,,,,,,,
1060.0,-0.0167383197695017,-0.0406056419014931,-0.0249727256596088,,0.0014101982815191,-0.0105820661410689,0.0329493544995785,0.0165586471557617,-0.0018086433410644,,,-0.0316680930554867,0.0015742302639409,,0.0311759002506733,,,,,,,
1070.0,-0.0167696010321379,-0.0406368263065815,-0.0250821113586426,,0.0014492034679278,-0.0105274198576808,0.0329493544995785,0.0165351871401072,-0.0018163680797442,,,-0.031628992408514,0.0016055107116699,,0.0311602596193552,,,,,,,
1080.0,-0.0168008804321289,-0.0406524650752544,-0.0251993183046579,,0.0014961243141442,-0.0104648591950536,0.0329649932682514,0.0164961814880371,-0.0018320083618164,,,-0.0314727798104286,0.001644516014494,,0.0311290752142668,,,,,,,
1090.0,-0.0168320666998625,-0.0406681075692177,-0.0253087040036917,,0.0015429496997967,-0.010410213842988,0.0329571738839149,0.0164727214723825,-0.0018398285610601,,,-0.0315665267407894,0.0016757965786382,,0.0311134345829487,,,,,,,
1100.0,-0.016855526715517,-0.0406837463378906,-0.0254180915653706,,0.0015820503467693,-0.0103554725646973,0.0330196395516396,0.0164414402097464,-0.0018398285610601,,,-0.0316524505615234,0.0017070770263671,,0.0310977939516306,,,,,,,
1110.0,-0.0168868061155081,-0.0407072082161903,-0.0255196578800678,,0.001621150993742,-0.0102851865813136,0.0330587401986122,0.0164024364203215,-0.0018398285610601,,,-0.0317227356135845,0.0017382622463628,,0.0310821533203125,,,,,,,
1120.0,-0.0169179923832417,-0.0407306663691998,-0.0256290435791016,,0.0016679763793945,-0.010230541229248,0.0330977439880371,0.0163711551576853,-0.0018476486438885,,,-0.031839944422245,0.0017695426940918,,0.0310586933046579,,,,,,,
1130.0,-0.0169492717832327,-0.0407462120056152,-0.0257306098937988,,0.0017070770263671,-0.0101758008822799,0.0331212058663368,0.0163320545107126,-0.0018554687267169,,,-0.0318087600171566,0.001800823258236,,0.0310430526733398,,,,,,,
